Latitud,Longitud
-35.75,-55.25
-35.75,-55.75
-35.75,-56.25
-35.75,-56.75
-35.75,-57.25
-35.75,-57.75
-35.75,-58.25
-35.75,-58.75
-35.75,-59.25
-35.75,-59.75
-35.75,-60.25
-35.75,-60.75
-35.75,-61.25
-35.75,-61.75
-35.75,-62.25
-35.75,-62.75
-35.75,-63.25
-35.75,-63.75
-35.75,-64.25
-35.75,-64.75
-35.75,-65.25
-35.75,-65.75
-35.75,-66.25
-35.75,-66.75
-35.75,-67.25
-35.75,-67.75
-35.75,-68.25
-35.75,-68.75
-36.25,-55.25
-36.25,-55.75
-36.25,-56.25
-36.25,-56.75
-36.25,-57.25
-36.25,-57.75
-36.25,-58.25
-36.25,-58.75
-36.25,-59.25
-36.25,-59.75
-36.25,-60.25
-36.25,-60.75
-36.25,-61.25
-36.25,-61.75
-36.25,-62.25
-36.25,-62.75
-36.25,-63.25
-36.25,-63.75
-36.25,-64.25
-36.25,-64.75
-36.25,-65.25
-36.25,-65.75
-36.25,-66.25
-36.25,-66.75
-36.25,-67.25
-36.25,-67.75
-36.25,-68.25
-36.25,-68.75
-36.75,-55.25
-36.75,-55.75
-36.75,-56.25
-36.75,-56.75
-36.75,-57.25
-36.75,-57.75
-36.75,-58.25
-36.75,-58.75
-36.75,-59.25
-36.75,-59.75
-36.75,-60.25
-36.75,-60.75
-36.75,-61.25
-36.75,-61.75
-36.75,-62.25
-36.75,-62.75
-36.75,-63.25
-36.75,-63.75
-36.75,-64.25
-36.75,-64.75
-36.75,-65.25
-36.75,-65.75
-36.75,-66.25
-36.75,-66.75
-36.75,-67.25
-36.75,-67.75
-36.75,-68.25
-36.75,-68.75
-37.25,-55.25
-37.25,-55.75
-37.25,-56.25
-37.25,-56.75
-37.25,-57.25
-37.25,-57.75
-37.25,-58.25
-37.25,-58.75
-37.25,-59.25
-37.25,-59.75
-37.25,-60.25
-37.25,-60.75
-37.25,-61.25
-37.25,-61.75
-37.25,-62.25
-37.25,-62.75
-37.25,-63.25
-37.25,-63.75
-37.25,-64.25
-37.25,-64.75
-37.25,-65.25
-37.25,-65.75
-37.25,-66.25
-37.25,-66.75
-37.25,-67.25
-37.25,-67.75
-37.25,-68.25
-37.25,-68.75
-37.75,-55.25
-37.75,-55.75
-37.75,-56.25
-37.75,-56.75
-37.75,-57.25
-37.75,-57.75
-37.75,-58.25
-37.75,-58.75
-37.75,-59.25
-37.75,-59.75
-37.75,-60.25
-37.75,-60.75
-37.75,-61.25
-37.75,-61.75
-37.75,-62.25
-37.75,-62.75
-37.75,-63.25
-37.75,-63.75
-37.75,-64.25
-37.75,-64.75
-37.75,-65.25
-37.75,-65.75
-37.75,-66.25
-37.75,-66.75
-37.75,-67.25
-37.75,-67.75
-37.75,-68.25
-37.75,-68.75
-38.25,-55.25
-38.25,-55.75
-38.25,-56.25
-38.25,-56.75
-38.25,-57.25
-38.25,-57.75
-38.25,-58.25
-38.25,-58.75
-38.25,-59.25
-38.25,-59.75
-38.25,-60.25
-38.25,-60.75
-38.25,-61.25
-38.25,-61.75
-38.25,-62.25
-38.25,-62.75
-38.25,-63.25
-38.25,-63.75
-38.25,-64.25
-38.25,-64.75
-38.25,-65.25
-38.25,-65.75
-38.25,-66.25
-38.25,-66.75
-38.25,-67.25
-38.25,-67.75
-38.25,-68.25
-38.25,-68.75
-38.75,-55.25
-38.75,-55.75
-38.75,-56.25
-38.75,-56.75
-38.75,-57.25
-38.75,-57.75
-38.75,-58.25
-38.75,-58.75
-38.75,-59.25
-38.75,-59.75
-38.75,-60.25
-38.75,-60.75
-38.75,-61.25
-38.75,-61.75
-38.75,-62.25
-38.75,-62.75
-38.75,-63.25
-38.75,-63.75
-38.75,-64.25
-38.75,-64.75
-38.75,-65.25
-38.75,-65.75
-38.75,-66.25
-38.75,-66.75
-38.75,-67.25
-38.75,-67.75
-38.75,-68.25
-38.75,-68.75
-39.25,-55.25
-39.25,-55.75
-39.25,-56.25
-39.25,-56.75
-39.25,-57.25
-39.25,-57.75
-39.25,-58.25
-39.25,-58.75
-39.25,-59.25
-39.25,-59.75
-39.25,-60.25
-39.25,-60.75
-39.25,-61.25
-39.25,-61.75
-39.25,-62.25
-39.25,-62.75
-39.25,-63.25
-39.25,-63.75
-39.25,-64.25
-39.25,-64.75
-39.25,-65.25
-39.25,-65.75
-39.25,-66.25
-39.25,-66.75
-39.25,-67.25
-39.25,-67.75
-39.25,-68.25
-39.25,-68.75
-39.75,-55.25
-39.75,-55.75
-39.75,-56.25
-39.75,-56.75
-39.75,-57.25
-39.75,-57.75
-39.75,-58.25
-39.75,-58.75
-39.75,-59.25
-39.75,-59.75
-39.75,-60.25
-39.75,-60.75
-39.75,-61.25
-39.75,-61.75
-39.75,-62.25
-39.75,-62.75
-39.75,-63.25
-39.75,-63.75
-39.75,-64.25
-39.75,-64.75
-39.75,-65.25
-39.75,-65.75
-39.75,-66.25
-39.75,-66.75
-39.75,-67.25
-39.75,-67.75
-39.75,-68.25
-39.75,-68.75
-40.25,-55.25
-40.25,-55.75
-40.25,-56.25
-40.25,-56.75
-40.25,-57.25
-40.25,-57.75
-40.25,-58.25
-40.25,-58.75
-40.25,-59.25
-40.25,-59.75
-40.25,-60.25
-40.25,-60.75
-40.25,-61.25
-40.25,-61.75
-40.25,-62.25
-40.25,-62.75
-40.25,-63.25
-40.25,-63.75
-40.25,-64.25
